R4,R3,R2b,R2
,DataElement.stringency,DataElement.stringency,DataElement.stringency
,DataElement.title,,
,DataElement.url,DataElement.url,DataElement.url
,DataElement.version,DataElement.version,DataElement.version
,,DecisionSupportRule,
,,DecisionSupportRule.description,
,,DecisionSupportRule.identifier,
,,DecisionSupportRule.status,
,,DecisionSupportRule.title,
,,DecisionSupportRule.topic,
,,DecisionSupportRule.version,
,,DecisionSupportServiceModule,
,,DecisionSupportServiceModule.description,
,,DecisionSupportServiceModule.identifier,
,,DecisionSupportServiceModule.status,
,,DecisionSupportServiceModule.title,
,,DecisionSupportServiceModule.topic,
,,DecisionSupportServiceModule.version,
DetectedIssue,DetectedIssue,DetectedIssue,DetectedIssue
DetectedIssue.author,DetectedIssue.author,DetectedIssue.author,DetectedIssue.author
DetectedIssue.code,DetectedIssue.category,DetectedIssue.category,DetectedIssue.category
DetectedIssue.identified,DetectedIssue.date,DetectedIssue.date,DetectedIssue.date
DetectedIssue.identifier,DetectedIssue.identifier,DetectedIssue.identifier,DetectedIssue.identifier
DetectedIssue.implicated,DetectedIssue.implicated,DetectedIssue.implicated,DetectedIssue.implicated
DetectedIssue.patient,DetectedIssue.patient,DetectedIssue.patient,DetectedIssue.patient
Device,Device,Device,Device
Device.device-name,Device.device-name,,
Device.identifier,Device.identifier,Device.identifier,Device.identifier
Device.location,Device.location,Device.location,Device.location
Device.manufacturer,Device.manufacturer,Device.manufacturer,Device.manufacturer
Device.model,Device.model,Device.model,Device.model
Device.organization,Device.organization,Device.organization,Device.organization
Device.patient,Device.patient,Device.patient,Device.patient
Device.status,Device.status,,
Device.type,Device.type,Device.type,Device.type
Device.udi-carrier,Device.udi-carrier,Device.udicarrier,Device.udi
Device.udi-di,Device.udi-di,,
Device.url,Device.url,Device.url,Device.url
DeviceDefinition,,,
DeviceDefinition.identifier,,,
DeviceDefinition.parent,,,
DeviceDefinition.type,,,
,DeviceComponent,DeviceComponent,DeviceComponent
,DeviceComponent.identifier,,
,DeviceComponent.parent,DeviceComponent.parent,DeviceComponent.parent
,DeviceComponent.source,DeviceComponent.source,DeviceComponent.source
,DeviceComponent.type,DeviceComponent.type,DeviceComponent.type
DeviceMetric,DeviceMetric,DeviceMetric,DeviceMetric
DeviceMetric.category,DeviceMetric.category,DeviceMetric.category,DeviceMetric.category
DeviceMetric.identifier,DeviceMetric.identifier,DeviceMetric.identifier,DeviceMetric.identifier
DeviceMetric.parent,DeviceMetric.parent,DeviceMetric.parent,DeviceMetric.parent
DeviceMetric.source,DeviceMetric.source,DeviceMetric.source,DeviceMetric.source
DeviceMetric.type,DeviceMetric.type,DeviceMetric.type,DeviceMetric.type
DeviceRequest,DeviceRequest,DeviceUseRequest,DeviceUseRequest
DeviceRequest.authored-on,DeviceRequest.authored-on,,
DeviceRequest.based-on,DeviceRequest.based-on,,
DeviceRequest.code,DeviceRequest.code,,
DeviceRequest.device,DeviceRequest.device,DeviceUseRequest.device,DeviceUseRequest.device
DeviceRequest.encounter,DeviceRequest.encounter,,
DeviceRequest.event-date,DeviceRequest.event-date,,
DeviceRequest.group-identifier,DeviceRequest.group-identifier,,
DeviceRequest.identifier,DeviceRequest.identifier,,
DeviceRequest.instantiates-canonical,,,
DeviceRequest.instantiates-uri,DeviceRequest.definition,,
DeviceRequest.insurance,,,
DeviceRequest.intent,DeviceRequest.intent,,
DeviceRequest.patient,DeviceRequest.patient,DeviceUseRequest.patient,DeviceUseRequest.patient
DeviceRequest.performer,DeviceRequest.performer,,
DeviceRequest.prior-request,DeviceRequest.priorrequest,,
DeviceRequest.requester,DeviceRequest.requester,,
DeviceRequest.status,DeviceRequest.status,,
DeviceRequest.subject,DeviceRequest.subject,DeviceUseRequest.subject,DeviceUseRequest.subject
DeviceUseStatement,DeviceUseStatement,DeviceUseStatement,DeviceUseStatement
DeviceUseStatement.device,DeviceUseStatement.device,DeviceUseStatement.device,DeviceUseStatement.device
DeviceUseStatement.identifier,DeviceUseStatement.identifier,,
DeviceUseStatement.patient,DeviceUseStatement.patient,DeviceUseStatement.patient,DeviceUseStatement.patient
DeviceUseStatement.subject,DeviceUseStatement.subject,DeviceUseStatement.subject,DeviceUseStatement.subject
,,DiagnosticOrder,DiagnosticOrder
,,DiagnosticOrder.actor,DiagnosticOrder.actor
,,DiagnosticOrder.bodysite,DiagnosticOrder.bodysite
,,DiagnosticOrder.code,DiagnosticOrder.code
,,DiagnosticOrder.encounter,DiagnosticOrder.encounter
,,DiagnosticOrder.event-date,DiagnosticOrder.event-date
,,DiagnosticOrder.event-status,DiagnosticOrder.event-status
,,DiagnosticOrder.event-status-date,DiagnosticOrder.event-status-date
,,DiagnosticOrder.identifier,DiagnosticOrder.identifier
,,DiagnosticOrder.item-date,DiagnosticOrder.item-date
,,DiagnosticOrder.item-past-status,DiagnosticOrder.item-past-status
,,DiagnosticOrder.item-status,DiagnosticOrder.item-status
,,DiagnosticOrder.item-status-date,DiagnosticOrder.item-status-date
,,DiagnosticOrder.orderer,DiagnosticOrder.orderer
,,DiagnosticOrder.patient,DiagnosticOrder.patient
,,DiagnosticOrder.specimen,DiagnosticOrder.specimen
,,DiagnosticOrder.status,DiagnosticOrder.status
,,DiagnosticOrder.subject,DiagnosticOrder.subject
DiagnosticReport,DiagnosticReport,DiagnosticReport,DiagnosticReport
DiagnosticReport.based-on,DiagnosticReport.based-on,,
DiagnosticReport.category,DiagnosticReport.category,DiagnosticReport.category,DiagnosticReport.category
DiagnosticReport.code,DiagnosticReport.code,DiagnosticReport.code,DiagnosticReport.code
,DiagnosticReport.context,,
DiagnosticReport.conclusion,,,
DiagnosticReport.date,DiagnosticReport.date,DiagnosticReport.date,DiagnosticReport.date
,DiagnosticReport.diagnosis,DiagnosticReport.diagnosis,DiagnosticReport.diagnosis
DiagnosticReport.encounter,DiagnosticReport.encounter,DiagnosticReport.encounter,DiagnosticReport.encounter
DiagnosticReport.identifier,DiagnosticReport.identifier,DiagnosticReport.identifier,DiagnosticReport.identifier
DiagnosticReport.media,DiagnosticReport.image,DiagnosticReport.image,DiagnosticReport.image
DiagnosticReport.issued,DiagnosticReport.issued,DiagnosticReport.issued,DiagnosticReport.issued
DiagnosticReport.patient,DiagnosticReport.patient,DiagnosticReport.patient,DiagnosticReport.patient
DiagnosticReport.performer,DiagnosticReport.performer,DiagnosticReport.performer,DiagnosticReport.performer
,,DiagnosticReport.request,DiagnosticReport.request
DiagnosticReport.result,DiagnosticReport.result,DiagnosticReport.result,DiagnosticReport.result
DiagnosticReport.results-interpreter,,,
DiagnosticReport.specimen,DiagnosticReport.specimen,DiagnosticReport.specimen,DiagnosticReport.specimen
DiagnosticReport.status,DiagnosticReport.status,DiagnosticReport.status,DiagnosticReport.status
DiagnosticReport.subject,DiagnosticReport.subject,DiagnosticReport.subject,DiagnosticReport.subject
DocumentManifest,DocumentManifest,DocumentManifest,DocumentManifest
DocumentManifest.author,DocumentManifest.author,DocumentManifest.author,DocumentManifest.author
DocumentManifest.item,DocumentManifest.content-ref,DocumentManifest.content-ref,DocumentManifest.content-ref
DocumentManifest.created,DocumentManifest.created,DocumentManifest.created,DocumentManifest.created
DocumentManifest.description,DocumentManifest.description,DocumentManifest.description,DocumentManifest.description
DocumentManifest.identifier,DocumentManifest.identifier,DocumentManifest.identifier,DocumentManifest.identifier
DocumentManifest.patient,DocumentManifest.patient,DocumentManifest.patient,DocumentManifest.patient
DocumentManifest.recipient,DocumentManifest.recipient,DocumentManifest.recipient,DocumentManifest.recipient
DocumentManifest.related-id,DocumentManifest.related-id,DocumentManifest.related-id,DocumentManifest.related-id
DocumentManifest.related-ref,DocumentManifest.related-ref,DocumentManifest.related-ref,DocumentManifest.related-ref
DocumentManifest.source,DocumentManifest.source,DocumentManifest.source,DocumentManifest.source
DocumentManifest.status,DocumentManifest.status,DocumentManifest.status,DocumentManifest.status
DocumentManifest.subject,DocumentManifest.subject,DocumentManifest.subject,DocumentManifest.subject
DocumentManifest.type,DocumentManifest.type,DocumentManifest.type,DocumentManifest.type
DocumentReference,DocumentReference,DocumentReference,DocumentReference
DocumentReference.authenticator,DocumentReference.authenticator,DocumentReference.authenticator,DocumentReference.authenticator
DocumentReference.author,DocumentReference.author,DocumentReference.author,DocumentReference.author
DocumentReference.category,DocumentReference.class,DocumentReference.class,DocumentReference.class
DocumentReference.contenttype,,,
DocumentReference.custodian,DocumentReference.custodian,DocumentReference.custodian,DocumentReference.custodian
DocumentReference.date,DocumentReference.created,DocumentReference.created,DocumentReference.created
DocumentReference.description,DocumentReference.description,DocumentReference.description,DocumentReference.description
DocumentReference.encounter,DocumentReference.encounter,DocumentReference.encounter,DocumentReference.encounter
DocumentReference.event,DocumentReference.event,DocumentReference.event,DocumentReference.event
DocumentReference.facility,DocumentReference.facility,DocumentReference.facility,DocumentReference.facility
DocumentReference.format,DocumentReference.format,DocumentReference.format,DocumentReference.format
DocumentReference.identifier,DocumentReference.identifier,DocumentReference.identifier,DocumentReference.identifier
,DocumentReference.indexed,DocumentReference.indexed,DocumentReference.indexed
DocumentReference.language,DocumentReference.language,DocumentReference.language,DocumentReference.language
DocumentReference.location,DocumentReference.location,DocumentReference.location,DocumentReference.location
DocumentReference.patient,DocumentReference.patient,DocumentReference.patient,DocumentReference.patient
DocumentReference.period,DocumentReference.period,DocumentReference.period,DocumentReference.period
DocumentReference.related,DocumentReference.related-id,DocumentReference.related-id,DocumentReference.related-id
,DocumentReference.related-ref,DocumentReference.related-ref,DocumentReference.related-ref
DocumentReference.relatesto,DocumentReference.relatesto,DocumentReference.relatesto,DocumentReference.relatesto
DocumentReference.relation,DocumentReference.relation,DocumentReference.relation,DocumentReference.relation
DocumentReference.relationship,DocumentReference.relationship,DocumentReference.relationship,DocumentReference.relationship
DocumentReference.security-label,DocumentReference.securitylabel,DocumentReference.securitylabel,DocumentReference.securitylabel
DocumentReference.setting,DocumentReference.setting,DocumentReference.setting,DocumentReference.setting
DocumentReference.status,DocumentReference.status,DocumentReference.status,DocumentReference.status
DocumentReference.subject,DocumentReference.subject,DocumentReference.subject,DocumentReference.subject
DocumentReference.type,DocumentReference.type,DocumentReference.type,DocumentReference.type
EffectEvidenceSynthesis,,,
EffectEvidenceSynthesis.context,,,
EffectEvidenceSynthesis.context-quantity,,,
EffectEvidenceSynthesis.context-type,,,
EffectEvidenceSynthesis.context-type-quantity,,,
EffectEvidenceSynthesis.context-type-value,,,
EffectEvidenceSynthesis.date,,,
EffectEvidenceSynthesis.description,,,
EffectEvidenceSynthesis.effective,,,
EffectEvidenceSynthesis.identifier,,,
EffectEvidenceSynthesis.jurisdiction,,,
EffectEvidenceSynthesis.name,,,
EffectEvidenceSynthesis.publisher,,,
EffectEvidenceSynthesis.status,,,
EffectEvidenceSynthesis.title,,,
EffectEvidenceSynthesis.url,,,
EffectEvidenceSynthesis.version,,,
Evidence,,,
Evidence.composed-of,,,
Evidence.context,,,
Evidence.context-quantity,,,
Evidence.context-type,,,
Evidence.context-type-quantity,,,
Evidence.context-type-value,,,
Evidence.date,,,
Evidence.depends-on,,,
Evidence.derived-from,,,
Evidence.description,,,
Evidence.effective,,,
Evidence.identifier,,,
Evidence.jurisdiction,,,
Evidence.name,,,
Evidence.predecessor,,,
Evidence.publisher,,,
Evidence.status,,,
Evidence.successor,,,
Evidence.title,,,
Evidence.topic,,,
Evidence.url,,,
Evidence.version,,,
EvidenceVariable,,,
EvidenceVariable.composed-of,,,
EvidenceVariable.context,,,
EvidenceVariable.context-quantity,,,
EvidenceVariable.context-type,,,
EvidenceVariable.context-type-quantity,,,
EvidenceVariable.context-type-value,,,
EvidenceVariable.date,,,
EvidenceVariable.depends-on,,,
EvidenceVariable.derived-from,,,
EvidenceVariable.description,,,
EvidenceVariable.effective,,,
EvidenceVariable.identifier,,,
EvidenceVariable.jurisdiction,,,
EvidenceVariable.name,,,
EvidenceVariable.predecessor,,,
EvidenceVariable.publisher,,,
EvidenceVariable.status,,,
EvidenceVariable.successor,,,
EvidenceVariable.title,,,
EvidenceVariable.topic,,,
EvidenceVariable.url,,,
EvidenceVariable.version,,,
,EligibilityRequest,EligibilityRequest,EligibilityRequest
,EligibilityRequest.created,EligibilityRequest.created,
,EligibilityRequest.enterer,,
,EligibilityRequest.facility,,
,,EligibilityRequest.facilityidentifier,
,,EligibilityRequest.facilityreference,
,EligibilityRequest.identifier,EligibilityRequest.identifier,EligibilityRequest.identifier
,EligibilityRequest.organization,EligibilityRequest.organizationidentifier,
,,EligibilityRequest.organizationreference,
,EligibilityRequest.patient,,
,,EligibilityRequest.patientidentifier,
,,EligibilityRequest.patientreference,
,EligibilityRequest.provider,,
,,EligibilityRequest.provideridentifier,
,,EligibilityRequest.providerreference,
,EligibilityResponse,,EligibilityResponse
,EligibilityResponse.created,EligibilityResponse.created,
,EligibilityResponse.disposition,EligibilityResponse.disposition,
,EligibilityResponse.identifier,EligibilityResponse.identifier,EligibilityResponse.identifier
,EligibilityResponse.insurer,,
,,EligibilityResponse.organizationidentifier,
,,EligibilityResponse.organizationreference,
,EligibilityResponse.outcome,EligibilityResponse.outcome,
,EligibilityResponse.request,EligibilityResponse.requestidentifier,
,,EligibilityResponse.requestreference,
,EligibilityResponse.request-organization,,
,,EligibilityResponse.requestorganizationidentifier,
,,EligibilityResponse.requestorganizationreference,
,EligibilityResponse.request-provider,,
,,EligibilityResponse.requestprovideridentifier,
,,EligibilityResponse.requestproviderreference,
Encounter,Encounter,Encounter,Encounter
Encounter.account,,,
Encounter.appointment,Encounter.appointment,Encounter.appointment,Encounter.appointment
Encounter.based-on,,,
Encounter.class,Encounter.class,,
,,Encounter.condition,Encounter.condition
Encounter.date,Encounter.date,Encounter.date,Encounter.date
Encounter.diagnosis,Encounter.diagnosis,,
Encounter.episode-of-care,Encounter.episodeofcare,Encounter.episodeofcare,Encounter.episodeofcare
Encounter.identifier,Encounter.identifier,Encounter.identifier,Encounter.identifier
,Encounter.incomingreferral,Encounter.incomingreferral,Encounter.incomingreferral
,,Encounter.indication,Encounter.indication
Encounter.length,Encounter.length,Encounter.length,Encounter.length
Encounter.location,Encounter.location,Encounter.location,Encounter.location
Encounter.location-period,Encounter.location-period,Encounter.location-period,Encounter.location-period
Encounter.part-of,Encounter.part-of,Encounter.part-of,Encounter.part-of
Encounter.participant,Encounter.participant,Encounter.participant,Encounter.participant
Encounter.participant-type,Encounter.participant-type,Encounter.participant-type,Encounter.participant-type
Encounter.patient,Encounter.patient,Encounter.patient,Encounter.patient
Encounter.practitioner,Encounter.practitioner,Encounter.practitioner,Encounter.practitioner
,,Encounter.procedure,Encounter.procedure
Encounter.reason-code,Encounter.reason,Encounter.reason,Encounter.reason
Encounter.reason-reference,,,
Encounter.service-provider,Encounter.service-provider,,
Encounter.special-arrangement,Encounter.special-arrangement,Encounter.special-arrangement,Encounter.special-arrangement
Encounter.status,Encounter.status,Encounter.status,Encounter.status
Encounter.subject,Encounter.subject,,
Encounter.type,Encounter.type,Encounter.type,Encounter.type
Endpoint,Endpoint,,
Endpoint.connection-type,Endpoint.connection-type,,
Endpoint.identifier,Endpoint.identifier,,
Endpoint.name,Endpoint.name,,
Endpoint.organization,Endpoint.organization,,
Endpoint.payload-type,Endpoint.payload-type,,
Endpoint.status,Endpoint.status,,
EnrollmentRequest,EnrollmentRequest,EnrollmentRequest,EnrollmentRequest
EnrollmentRequest.identifier,EnrollmentRequest.identifier,EnrollmentRequest.identifier,EnrollmentRequest.identifier
,EnrollmentRequest.organization,,
EnrollmentRequest.patient,EnrollmentRequest.patient,EnrollmentRequest.patient,EnrollmentRequest.patient
EnrollmentRequest.status,,,
EnrollmentRequest.subject,EnrollmentRequest.subject,EnrollmentRequest.subject,EnrollmentRequest.subject
EnrollmentResponse,EnrollmentResponse,EnrollmentResponse,EnrollmentResponse
EnrollmentResponse.identifier,EnrollmentResponse.identifier,EnrollmentResponse.identifier,EnrollmentResponse.identifier
,EnrollmentResponse.organization,,
EnrollmentResponse.request,EnrollmentResponse.request,,
EnrollmentResponse.status,,,
EpisodeOfCare,EpisodeOfCare,EpisodeOfCare,EpisodeOfCare
EpisodeOfCare.care-manager,EpisodeOfCare.care-manager,EpisodeOfCare.care-manager,EpisodeOfCare.care-manager
EpisodeOfCare.condition,EpisodeOfCare.condition,EpisodeOfCare.condition,EpisodeOfCare.condition
EpisodeOfCare.date,EpisodeOfCare.date,EpisodeOfCare.date,EpisodeOfCare.date
EpisodeOfCare.identifier,EpisodeOfCare.identifier,EpisodeOfCare.identifier,EpisodeOfCare.identifier
EpisodeOfCare.incoming-referral,EpisodeOfCare.incomingreferral,EpisodeOfCare.incomingreferral,EpisodeOfCare.incomingreferral
EpisodeOfCare.organization,EpisodeOfCare.organization,EpisodeOfCare.organization,EpisodeOfCare.organization
EpisodeOfCare.patient,EpisodeOfCare.patient,EpisodeOfCare.patient,EpisodeOfCare.patient
EpisodeOfCare.status,EpisodeOfCare.status,EpisodeOfCare.status,EpisodeOfCare.status
,,,EpisodeOfCare.team-member
EpisodeOfCare.type,EpisodeOfCare.type,EpisodeOfCare.type,EpisodeOfCare.type
EventDefinition,,,
EventDefinition.composed-of,,,
EventDefinition.context,,,
EventDefinition.context-quantity,,,
EventDefinition.context-type,,,
EventDefinition.context-type-quantity,,,
EventDefinition.context-type-value,,,
EventDefinition.date,,,
EventDefinition.depends-on,,,
EventDefinition.derived-from,,,
EventDefinition.description,,,
EventDefinition.effective,,,
EventDefinition.identifier,,,
EventDefinition.jurisdiction,,,
EventDefinition.name,,,
EventDefinition.predecessor,,,
EventDefinition.publisher,,,
EventDefinition.status,,,
EventDefinition.successor,,,
EventDefinition.title,,,
EventDefinition.topic,,,
EventDefinition.url,,,
EventDefinition.version,,,
ExampleScenario,,,
ExampleScenario.context,,,
ExampleScenario.context-quantity,,,
ExampleScenario.context-type,,,
ExampleScenario.context-type-quantity,,,
ExampleScenario.context-type-value,,,
ExampleScenario.date,,,
ExampleScenario.identifier,,,
ExampleScenario.jurisdiction,,,
ExampleScenario.name,,,
ExampleScenario.publisher,,,
ExampleScenario.status,,,
ExampleScenario.url,,,
ExampleScenario.version,,,
,ExpansionProfile,ExpansionProfile,
,ExpansionProfile.date,ExpansionProfile.date,
,ExpansionProfile.description,ExpansionProfile.description,
,ExpansionProfile.identifier,ExpansionProfile.identifier,
,ExpansionProfile.jurisdiction,,
,ExpansionProfile.name,ExpansionProfile.name,
,ExpansionProfile.publisher,ExpansionProfile.publisher,
,ExpansionProfile.status,ExpansionProfile.status,
,ExpansionProfile.url,ExpansionProfile.url,
,ExpansionProfile.version,ExpansionProfile.version,
ExplanationOfBenefit,ExplanationOfBenefit,ExplanationOfBenefit,ExplanationOfBenefit
ExplanationOfBenefit.care-team,ExplanationOfBenefit.care-team,,
ExplanationOfBenefit.claim,ExplanationOfBenefit.claim,ExplanationOfBenefit.claimindentifier,
,,ExplanationOfBenefit.claimreference,
ExplanationOfBenefit.coverage,ExplanationOfBenefit.coverage,,
ExplanationOfBenefit.created,ExplanationOfBenefit.created,ExplanationOfBenefit.created,
ExplanationOfBenefit.detail-udi,,,
ExplanationOfBenefit.disposition,ExplanationOfBenefit.disposition,ExplanationOfBenefit.disposition,
ExplanationOfBenefit.encounter,ExplanationOfBenefit.encounter,,
ExplanationOfBenefit.enterer,ExplanationOfBenefit.enterer,,
ExplanationOfBenefit.facility,ExplanationOfBenefit.facility,ExplanationOfBenefit.facilityidentifier,
,,ExplanationOfBenefit.facilityreference,
ExplanationOfBenefit.identifier,ExplanationOfBenefit.identifier,ExplanationOfBenefit.identifier,ExplanationOfBenefit.identifier
ExplanationOfBenefit.item-udi,,,
,ExplanationOfBenefit.organization,ExplanationOfBenefit.organizationidentifier,
,,ExplanationOfBenefit.organizationreference,
ExplanationOfBenefit.patient,ExplanationOfBenefit.patient,ExplanationOfBenefit.patientidentifier,
,,ExplanationOfBenefit.patientreference,
ExplanationOfBenefit.payee,ExplanationOfBenefit.payee,,
ExplanationOfBenefit.procedure-udi,,,
ExplanationOfBenefit.provider,ExplanationOfBenefit.provider,ExplanationOfBenefit.provideridentifier,
,,ExplanationOfBenefit.providerreference,
ExplanationOfBenefit.status,,,
ExplanationOfBenefit.subdetail-udi,,,
FamilyMemberHistory,FamilyMemberHistory,FamilyMemberHistory,FamilyMemberHistory
FamilyMemberHistory.code,FamilyMemberHistory.code,FamilyMemberHistory.code,FamilyMemberHistory.code
,,FamilyMemberHistory.condition,FamilyMemberHistory.condition
FamilyMemberHistory.date,FamilyMemberHistory.date,FamilyMemberHistory.date,FamilyMemberHistory.date
FamilyMemberHistory.identifier,FamilyMemberHistory.identifier,FamilyMemberHistory.identifier,FamilyMemberHistory.identifier
FamilyMemberHistory.instantiates-canonical,FamilyMemberHistory.definition,,
FamilyMemberHistory.instantiates-uri,,,
,FamilyMemberHistory.gender,FamilyMemberHistory.gender,FamilyMemberHistory.gender
FamilyMemberHistory.patient,FamilyMemberHistory.patient,FamilyMemberHistory.patient,FamilyMemberHistory.patient
FamilyMemberHistory.relationship,FamilyMemberHistory.relationship,FamilyMemberHistory.relationship,FamilyMemberHistory.relationship
FamilyMemberHistory.sex,,,
FamilyMemberHistory.status,FamilyMemberHistory.status,,
Flag,Flag,Flag,Flag
Flag.author,Flag.author,Flag.author,Flag.author
Flag.date,Flag.date,Flag.date,Flag.date
Flag.encounter,Flag.encounter,Flag.encounter,Flag.encounter
Flag.identifier,Flag.identifier,,
Flag.patient,Flag.patient,Flag.patient,Flag.patient
Flag.subject,Flag.subject,Flag.subject,Flag.subject
Goal,Goal,Goal,Goal
Goal.achievement-status,,,
Goal.category,Goal.category,Goal.category,Goal.category
Goal.identifier,Goal.identifier,Goal.identifier,Goal.identifier
Goal.lifecycle-status,,,
Goal.patient,Goal.patient,Goal.patient,Goal.patient
Goal.start-date,Goal.start-date,,
,Goal.status,Goal.status,Goal.status
Goal.subject,Goal.subject,Goal.subject,Goal.subject
Goal.target-date,Goal.target-date,Goal.targetdate,Goal.targetdate
GraphDefinition,GraphDefinition,,
GraphDefinition.context,,,
GraphDefinition.context-quantity,,,
GraphDefinition.context-type,,,
GraphDefinition.context-type-quantity,,,
GraphDefinition.context-type-value,,,
GraphDefinition.date,GraphDefinition.date,,
GraphDefinition.description,GraphDefinition.description,,
GraphDefinition.jurisdiction,GraphDefinition.jurisdiction,,
GraphDefinition.name,GraphDefinition.name,,
GraphDefinition.publisher,GraphDefinition.publisher,,
GraphDefinition.start,GraphDefinition.start,,
GraphDefinition.status,GraphDefinition.status,,
GraphDefinition.url,GraphDefinition.url,,
GraphDefinition.version,GraphDefinition.version,,
Group,Group,Group,Group
Group.actual,Group.actual,Group.actual,Group.actual
Group.characteristic,Group.characteristic,Group.characteristic,Group.characteristic
Group.characteristic-value,Group.characteristic-value,Group.characteristic-value,Group.characteristic-value
Group.code,Group.code,Group.code,Group.code
Group.exclude,Group.exclude,Group.exclude,Group.exclude
Group.identifier,Group.identifier,Group.identifier,Group.identifier
Group.managing-entity,,,
Group.member,Group.member,Group.member,Group.member
Group.type,Group.type,Group.type,Group.type
Group.value,Group.value,Group.value,Group.value
GuidanceResponse,GuidanceResponse,,
GuidanceResponse.identifier,GuidanceResponse.identifier,,
GuidanceResponse.patient,GuidanceResponse.patient,,
GuidanceResponse.request,GuidanceResponse.request,,
GuidanceResponse.subject,GuidanceResponse.subject,,
HealthcareService,HealthcareService,HealthcareService,HealthcareService
HealthcareService.active,HealthcareService.active,,
,HealthcareService.category,,
HealthcareService.characteristic,HealthcareService.characteristic,HealthcareService.characteristic,HealthcareService.characteristic
HealthcareService.coverage-area,,,
HealthcareService.endpoint,HealthcareService.endpoint,,
HealthcareService.identifier,HealthcareService.identifier,HealthcareService.identifier,HealthcareService.identifier
HealthcareService.location,HealthcareService.location,HealthcareService.location,HealthcareService.location
HealthcareService.name,HealthcareService.name,HealthcareService.name,HealthcareService.name
HealthcareService.organization,HealthcareService.organization,HealthcareService.organization,HealthcareService.organization
HealthcareService.program,HealthcareService.programname,HealthcareService.programname,HealthcareService.programname
HealthcareService.service-category,,HealthcareService.servicecategory,HealthcareService.servicecategory
HealthcareService.service-type,HealthcareService.type,HealthcareService.servicetype,HealthcareService.servicetype
HealthcareService.specialty,,,
,,ImagingExcerpt,
,,ImagingExcerpt.author,
,,ImagingExcerpt.authoring-time,
,,ImagingExcerpt.identifier,
,,ImagingExcerpt.patient,
,,ImagingExcerpt.selected-study,
,,ImagingExcerpt.title,
,ImagingManifest,ImagingObjectSelection,ImagingObjectSelection
,ImagingManifest.author,ImagingObjectSelection.author,ImagingObjectSelection.author
,ImagingManifest.authoring-time,ImagingObjectSelection.authoring-time,ImagingObjectSelection.authoring-time
,ImagingManifest.endpoint,,
,ImagingManifest.identifier,ImagingObjectSelection.identifier,ImagingObjectSelection.identifier
,ImagingManifest.imaging-study,,
,ImagingManifest.patient,ImagingObjectSelection.patient,ImagingObjectSelection.patient
,ImagingManifest.selected-study,ImagingObjectSelection.selected-study,ImagingObjectSelection.selected-study
,,ImagingObjectSelection.title,ImagingObjectSelection.title
ImagingStudy,ImagingStudy,ImagingStudy,ImagingStudy
,ImagingStudy.accession,ImagingStudy.accession,ImagingStudy.accession
ImagingStudy.basedon,ImagingStudy.basedon,ImagingStudy.order,ImagingStudy.order
ImagingStudy.bodysite,ImagingStudy.bodysite,ImagingStudy.bodysite,ImagingStudy.bodysite
,ImagingStudy.context,,
ImagingStudy.dicom-class,ImagingStudy.dicom-class,ImagingStudy.dicom-class,ImagingStudy.dicom-class
ImagingStudy.encounter,,,
ImagingStudy.endpoint,ImagingStudy.endpoint,,
ImagingStudy.identifier,ImagingStudy.identifier,ImagingStudy.identifier,
ImagingStudy.instance,,,
ImagingStudy.interpreter,,,
ImagingStudy.modality,ImagingStudy.modality,ImagingStudy.modality,ImagingStudy.modality
ImagingStudy.patient,ImagingStudy.patient,ImagingStudy.patient,ImagingStudy.patient
ImagingStudy.performer,ImagingStudy.performer,,
ImagingStudy.reason,ImagingStudy.reason,,
ImagingStudy.referrer,,,
ImagingStudy.series,ImagingStudy.series,ImagingStudy.series,ImagingStudy.series
ImagingStudy.started,ImagingStudy.started,ImagingStudy.started,ImagingStudy.started
,ImagingStudy.study,ImagingStudy.study,ImagingStudy.study
ImagingStudy.status,,,
ImagingStudy.subject,,,
,ImagingStudy.uid,ImagingStudy.uid,ImagingStudy.uid
Immunization,Immunization,Immunization,Immunization
Immunization.date,Immunization.date,Immunization.date,Immunization.date
,Immunization.dose-sequence,Immunization.dose-sequence,Immunization.dose-sequence
Immunization.identifier,Immunization.identifier,Immunization.identifier,Immunization.identifier
Immunization.location,Immunization.location,Immunization.location,Immunization.location
Immunization.lot-number,Immunization.lot-number,Immunization.lot-number,Immunization.lot-number
Immunization.manufacturer,Immunization.manufacturer,Immunization.manufacturer,Immunization.manufacturer
,Immunization.notgiven,Immunization.notgiven,Immunization.notgiven
Immunization.patient,Immunization.patient,Immunization.patient,Immunization.patient
Immunization.performer,Immunization.practitioner,Immunization.performer,Immunization.performer
Immunization.reaction,Immunization.reaction,Immunization.reaction,Immunization.reaction
Immunization.reaction-date,Immunization.reaction-date,Immunization.reaction-date,Immunization.reaction-date
Immunization.reason-code,Immunization.reason,Immunization.reason,Immunization.reason
Immunization.reason-reference,,,
,Immunization.reason-not-given,Immunization.reason-not-given,Immunization.reason-not-given
Immunization.series,,,
,,Immunization.requester,Immunization.requester
Immunization.status,Immunization.status,Immunization.status,Immunization.status
Immunization.status-reason,,,
Immunization.target-disease,,,
Immunization.vaccine-code,Immunization.vaccine-code,Immunization.vaccine-code,Immunization.vaccine-code
ImmunizationEvaluation,,,
ImmunizationEvaluation.date,,,
ImmunizationEvaluation.dose-status,,,
ImmunizationEvaluation.identifier,,,
